experiment,feature_set,model,heldout_seed,num_features,n_train,n_test,balanced_accuracy,f1,precision,recall,roc_auc,auprc
operational_only_leave_one_seed,all_telemetry,rf,1,17,160,80,0.875,0.9421487603305785,0.9344262295081968,0.95,0.97,0.9899289307701695
operational_only_leave_one_seed,all_telemetry,rf,2,17,160,80,0.8916666666666666,0.959349593495935,0.9365079365079365,0.9833333333333333,0.9916666666666666,0.9974789520327904
operational_only_leave_one_seed,all_telemetry,rf,3,17,160,80,0.9583333333333333,0.9747899159663865,0.9830508474576272,0.9666666666666667,0.9925,0.9975496453875378
operational_only_leave_one_seed,all_telemetry,logreg,1,17,160,80,0.9,0.9310344827586207,0.9642857142857143,0.9,0.9725,0.991355181616144
operational_only_leave_one_seed,all_telemetry,logreg,2,17,160,80,0.9166666666666667,0.9491525423728814,0.9655172413793104,0.9333333333333333,0.9875,0.995874190826402
operational_only_leave_one_seed,all_telemetry,logreg,3,17,160,80,0.925,0.9391304347826087,0.9818181818181818,0.9,0.9774999999999999,0.9922209224204572
operational_only_leave_one_seed,operational_only,rf,1,12,160,80,0.875,0.9421487603305785,0.9344262295081968,0.95,0.9466666666666667,0.9821114669979385
operational_only_leave_one_seed,operational_only,rf,2,12,160,80,0.8416666666666666,0.944,0.9076923076923077,0.9833333333333333,0.9675,0.9886467283170044
operational_only_leave_one_seed,operational_only,rf,3,12,160,80,0.8916666666666666,0.9411764705882353,0.9491525423728814,0.9333333333333333,0.9808333333333334,0.993986952056486
operational_only_leave_one_seed,operational_only,logreg,1,12,160,80,0.8,0.8571428571428571,0.9230769230769231,0.8,0.9241666666666667,0.975169822772773
operational_only_leave_one_seed,operational_only,logreg,2,12,160,80,0.875,0.9230769230769231,0.9473684210526315,0.9,0.9633333333333334,0.9877536094476205
operational_only_leave_one_seed,operational_only,logreg,3,12,160,80,0.8166666666666667,0.8771929824561403,0.9259259259259259,0.8333333333333334,0.9516666666666667,0.9836797661952317
operational_only_leave_one_seed,semantic_behavioral,rf,1,5,160,80,0.8833333333333333,0.9508196721311475,0.9354838709677419,0.9666666666666667,0.98,0.9935999558696712
operational_only_leave_one_seed,semantic_behavioral,rf,2,5,160,80,0.8333333333333333,0.9354838709677419,0.90625,0.9666666666666667,0.9508333333333334,0.9806770216263729
operational_only_leave_one_seed,semantic_behavioral,rf,3,5,160,80,0.8999999999999999,0.95,0.95,0.95,0.9841666666666666,0.9949717263553892
operational_only_leave_one_seed,semantic_behavioral,logreg,1,5,160,80,0.8416666666666667,0.9256198347107438,0.9180327868852459,0.9333333333333333,0.9341666666666666,0.9789501425944904
operational_only_leave_one_seed,semantic_behavioral,logreg,2,5,160,80,0.8999999999999999,0.9107142857142857,0.9807692307692307,0.85,0.9658333333333333,0.9889485277258672
operational_only_leave_one_seed,semantic_behavioral,logreg,3,5,160,80,0.85,0.8947368421052632,0.9444444444444444,0.85,0.9475,0.9840138084862092
